Team,Total Matches Played,Total Scored Goals,Total Conceded Goals,Goal Difference
Alaves,296,282,414,-132
Almeria,296,321,491,-170
Ath Bilbao,714,901,887,14
Ath Madrid,714,1173,685,488
Barcelona,714,1758,613,1145
Betis,600,727,855,-128
Cadiz,182,158,254,-96
Celta,524,644,738,-94
Cordoba,38,22,68,-46
Eibar,266,297,375,-78
Elche,190,169,286,-117
Espanol,646,715,918,-203
Getafe,676,747,864,-117
Gimnastic,38,34,69,-35
Girona,144,207,203,4
Granada,372,382,612,-230
Hercules,38,36,60,-24
Huesca,76,77,118,-41
La Coruna,418,447,608,-161
Las Palmas,144,151,234,-83
Leganes,152,137,200,-63
Levante,494,558,777,-219
Malaga,418,486,591,-105
Mallorca,448,523,636,-113
Murcia,38,36,65,-29
Numancia,38,38,69,-31
Osasuna,562,602,780,-178
Real Madrid,714,1684,691,993
Recreativo,114,128,169,-41
Santander,266,280,364,-84
Sevilla,714,1095,869,226
Sociedad,600,815,780,35
Sp Gijon,228,242,375,-133
Tenerife,38,40,74,-34
Valencia,714,1038,880,158
Valladolid,342,343,509,-166
Vallecano,334,397,571,-174
Villarreal,676,980,805,175
Xerez,38,38,66,-28
Zaragoza,266,310,395,-85
